Company,Company Info,Region,Focus,Company Size,Raised Funding,Recent Developments,Partnerships,Media Mentions,Humanoid Robotics Use Case,Single Use Cases,Task Streamlining,Project Launch Date,Relevancy Score,Correlation Reason,Article Name,Article Summary,Article Date,Article Url
Moxi Robotics,"Provides robotic assistants for hospital environment support, especially logistics and delivery",USA,Hospital logistics robots,Small-Medium,Not Disclosed,Deployed new robots capable of more complex deliveries and navigation in March 2025,Collaborations with healthcare systems,4,No - robots are mobile but not humanoid form,Yes - focused on hospital logistics and delivery,Delivery of supplies and lab samples,Commercial deployments ongoing,3,A. Limited overlap with janitorial or maintenance but related to logistics in facility settings. B. Some alignment with smart automation in buildings. C. Slightly innovative in indoor autonomous delivery. D. Technology is commercially ready.,Top 10 robotics developments of March 2025 - The Robot Report,Healthcare delivery robotics progress including Moxi Robotics’ expanded capabilities.,"April 1, 2025",https://www.therobotreport.com/top-10-robotics-developments-of-march-2025/
Boston Dynamics,"Develops advanced mobile robots including humanoid robots for a variety of industries such as logistics, manufacturing, and public safety.",United States,"Humanoid robotics, mobile robots",Large,Not Disclosed,"Introduced fully electric Atlas humanoid, showcasing decades of research in humanoid robotics.",None,10+,Yes - Atlas humanoid robot performs dynamic mobility and manipulation tasks.,No - Atlas designed for multiple complex tasks.,"Mobility, manipulation, dynamic interaction tasks",TBD,3,"A. Partial overlap as humanoid robotics can assist in facility operations but Atlas mainly focuses on advanced mobility rather than maintenance. B. Aligns moderately with smart facilities strategy due to advanced robotics but no explicit integration with IoT or AI dashboards for buildings. C. Offers unique humanoid robotics innovation with Atlas. D. Technology is advanced, but commercial readiness for facilities services is limited currently.",Humanoids Archives - Page 2 of 11 - The Robot Report,Boston Dynamics' fully electric Atlas humanoid builds on decades of research and represents cutting-edge humanoid robotic technology.,February 2025,https://www.therobotreport.com/category/robots-platforms/humanoids/page/2/
Yarbo,"Developer of autonomous multi-functional outdoor robots for landscaping and maintenance including mowing, snow blowing, and leaf blowing; serves outdoor and facility maintenance industries",United States,Autonomous outdoor maintenance robots,Small,Not Disclosed,Expanded product family with multiple attachments around core vehicle enabling versatile landscaping tasks,None,5,"No – Focused on autonomous outdoor maintenance vehicles, not humanoid robots","No – Multi-functional platform supporting mowing, snow blowing, and leaf blowing",Landscaping and outdoor maintenance automation,TBD,3,"A. Yarbo’s focus on landscaping overlaps with ABM's landscaping services. B. Use of autonomous technology aligns with ABM's interest in smart automation but less in building interior systems. C. Innovative multi-attachment outdoor robots represent unique robotics innovation. D. Product appears commercially ready as an autonomous multi-tool platform. However, no direct mention of integration with smart building systems or indoor facility automation.",Autonomous Mobile Robots (AMRs) Archives - The Robot Report,Overview of autonomous mobile robots with examples like Yarbo’s multi-function outdoor robots for landscaping and facility maintenance.,April 2025,https://www.therobotreport.com/category/robots-platforms/amrs/
Yarbo,"Manufacturer of multi-attachment autonomous outdoor robots for lawn mowing, snow blowing, and leaf blowing, serving landscaping and grounds maintenance industries.",USA,Autonomous outdoor maintenance robots,Small,Not Disclosed,Launched new product family of core autonomous vehicle with multiple attachments for various outdoor maintenance tasks.,None,3,"No - Focus is on outdoor maintenance robots, not humanoid robotics.","Yes - Specializes in specific use cases like mowing, snow removal, and leaf blowing with dedicated attachments.","Landscaping, lawn mowing, snow blowing, leaf blowing",TBD,4,A. Overlaps with ABM's landscaping and grounds maintenance services. B. Aligns somewhat with ABM's automation interests for facility operations outdoors. C. Offers unique robotic innovation in multi-attachment autonomous vehicles. D. Technology appears near-commercial or commercial-ready given product launch announcements.,Investments Archives - The Robot Report,The Robot Report covers recent investments in robotics including Yarbo’s introduction of a multi-attachment autonomous outdoor robot system for landscaping tasks.,"April 24, 2025",https://www.therobotreport.com/category/financial/investments-funding/
Apptronik,"Develops advanced humanoid and mobile robots for industrial and commercial applications, leveraging extensive robotics experience including NASA projects.",United States,Humanoid robotics production,Medium,$53 million (recent round) plus prior undisclosed amounts,Raised another $53M to accelerate production of Apollo humanoid robot to meet growing customer demand across key industries.,None explicitly mentioned,5,"Yes, develops Apollo humanoid robot aimed at diverse industries.","No, targets multi-industry applications with humanoid robot platform.",Not specifically detailed; humanoid robot intended for diverse operational support tasks.,TBD,3,"A. Limited overlap with ABM’s smart facility services as Apptronik focuses on humanoid robots rather than building systems or janitorial services. B. Some alignment with ABM’s interest in robotics but Apptronik’s humanoid tech is not explicitly for smart buildings or IoT integration. C. Offers unique humanoid robotics innovation, distinct from facility-focused robots. D. Commercial readiness implied by Apollo production ramp-up but applicability to ABM’s specific facility footprint is unclear.",Apptronik brings in another $53 million to fuel Apollo production - The Robot Report,"Apptronik secured an additional $53 million to support scaling production of its Apollo humanoid robot, targeting increased demand across multiple industry verticals.","March 18, 2025",https://www.therobotreport.com/apptronik-brings-in-another-53-million-to-fuel-apollo-production/
Persona AI,"Developer of humanoid robots and AI-driven robotic systems for interactive and operational applications, serving robotics and smart automation industries.",USA,"Humanoid robotics, AI interaction",Small,Not Disclosed,Founder Nicholaus Radford keynoted experiences launching Robonaut II at ISIS; advancing humanoid robotics development.,None,2,"Yes; focusing on humanoid robot deployment such as Robonaut II, enabling interactive AI-driven tasks.",No; humanoid robots have multi-function potential beyond single repetitive tasks.,"Interactive humanoid assistance, operational robotics deployment",TBD,3,A. Partial overlap since humanoid robotics could assist in facility operations but not directly related to core ABM services like janitorial or HVAC. B. Aligns modestly with ABM’s smart facilities strategy through AI and robot control but not explicitly with IoT or sensor networks. C. Offers innovative humanoid robotic technology which is unique but not fully proven as commercial facility automation yet. D. Commercial readiness is limited; primarily developmental and demonstration phase rather than broadly deployed solutions.,Contributing Editor,Highlights experiences launching advanced humanoid robotics and exploration of AI-driven robotic assistance by Persona AI.,April 2025,https://www.therobotreport.com/author/omitchell/
Boston Dynamics,"Developer of advanced dynamic robots specializing in humanoid and legged robots for multiple industries including logistics, defense, and research.",United States,"Humanoid robotics, AI locomotion",Large,Not Disclosed,Plans to use NVIDIA's Isaac GR00T platform to enhance AI capabilities for its Atlas humanoid robot; ongoing breakthroughs in learned dexterity and locomotion AI policies.,NVIDIA,5,"Yes; Atlas is a humanoid robot used for advanced mobility, manipulation, and AI research applications.",No; Atlas is designed for multi-purpose capabilities in locomotion and manipulation rather than a single task.,"Physical agility, navigation, object manipulation",TBD,3,A. Partial overlap since Boston Dynamics' robots could potentially assist facility operations but are primarily research-focused rather than building maintenance. B. Aligns with ABM’s smart facilities strategy through AI and robotics innovations but mainly in research applications. C. Offers unique humanoid robotics innovation with cutting-edge AI capabilities. D. Not commercially ready for typical facility services as ABM requires; Atlas is more research and development-driven at this stage.,Boston Dynamics plans to use NVIDIA's Isaac GR00T to build AI capabilities for Atlas - The Robot Report,Boston Dynamics and NVIDIA are collaborating to enhance the AI capabilities of the Atlas humanoid robot using Isaac GR00T for advanced locomotion and dexterity.,2025-03-24,https://www.therobotreport.com/boston-dynamics-plans-to-use-nvidias-isaac-gr00t-to-build-ai-capabilities-for-atlas/
Agility Robotics,"Develops humanoid robots for logistics and material handling industries, focusing on bipedal robot Digit.",United States,"Humanoid robots, collaborative safety",Medium,Not Disclosed,Integrated Digit humanoid robot with mobile platforms; advancing collaborative safety for commercial humanoid applications; demonstrated new functionality at ProMat 2025.,None,5,"Yes, Digit is a humanoid robot designed for logistics tasks such as material handling and delivery.","No, Digit is designed for multipurpose applications in logistics and material handling.","Parcel handling, warehouse logistics, mobile delivery",TBD,3,A. Limited overlap as Digit could assist material handling related to facility operations but not core ABM janitorial or HVAC services. B. Aligns moderately with ABM's smart automation goals through mobile platform integration and safety features. C. Offers unique humanoid robotics innovation for commercial environments. D. Technology demonstrated at trade show but commercial readiness specific to facility services is unclear.,Agility Robotics shows off latest advances for Digit humanoid - The Robot Report,Agility Robotics has integrated its Digit humanoid robot with mobile platforms and is advancing collaborative safety to enhance commercial usability.,"April 1, 2025",https://www.therobotreport.com/agility-robotics-announces-latest-advances-digit-humanoid-robot/
ABB,"Multinational company providing industrial robots, AMRs, cobots, and automation software serving manufacturing and logistics industries.",Switzerland/Global,"AMRs, industrial arms, cobots",Large,Publicly traded,Launched new AMR models and enhanced AI software platforms in last 12 months,Multiple logistics and manufacturing partnerships globally,10+,"No. Focus is on industrial and collaborative robot arms and mobile robots, not humanoid robots.",Yes. AMRs and industrial arms are designed for specific tasks like material handling and assembly.,"Material transport, assembly, manufacturing automation",TBD,4,"A. Yes, ABB's AMRs and automation solutions align with ABM's interest in robotics assisting facility operations. B. ABB offers smart automation software which supports ABM's smart building systems and AI dashboard priorities. C. ABB innovates in industrial and mobile robotics which can synergize with ABM's goals. D. ABB provides commercially ready products suitable for deployment in facilities.",Earnings Archives - The Robot Report,Coverage of recent earnings and product developments in the robotics sector including key players like ABB.,April 2025,https://www.therobotreport.com/category/financial/earnings/
Pollen Robotics,"Developer of humanoid robots capable of assistive and mobile tasks, serving robotics and automation industries.",France,Humanoid robots with AMR base,Medium,Not Disclosed,Released Reachy 2 model with four configurations: dual or single arm with AMR base or stationary base.,None,3,Yes. The Reachy 2 robot is humanoid with arms and mobile base options designed for assistive tasks.,No. Reachy 2 supports multiple configurations and versatile tasks.,"Potential for smart automation in operational assistance, research, and interaction.",TBD,3,"A. Partial overlap as Reachy 2 supports operational assistance but not specifically HVAC, janitorial, or parking maintenance. B. Potential alignment with smart automation strategy if integrated with sensors/AI. C. Offers humanoid robotics innovation with configurable arms and AMR base. D. Commercial readiness unclear, appears closer to prototype or early commercial stage.",Humanoids Archives - The Robot Report,Overview and updates of humanoid robotics platforms including Pollen Robotics’ Reachy 2 with multi-configuration options.,January 2025,https://www.therobotreport.com/category/robots-platforms/humanoids/
TMiRob,Developer of autonomous floor-cleaning robots serving commercial facility maintenance industry,USA,Autonomous floor cleaning,Small,Not Disclosed,Launched a new floor scrubber with AI-powered navigation in 2023,None,3,No; focuses on wheeled autonomous floor scrubbers,Yes; designed exclusively for floor scrubbing and maintenance,Floor cleaning and scrubbing,2023,4,A. Strong overlap with ABM's janitorial and sanitation services through robotic floor cleaning. B. Aligns with ABM’s smart facilities strategy using onboard AI and autonomous navigation. C. Offers practical commercial robotics innovation in automation and AI navigation. D. Commercially ready product deployed in real facilities. ,Meet the RBR50 Robotics Innovation Awards Winners,The article highlights the winners of the RBR50 awards showcasing innovative robotics companies worldwide.,"April 19, 2023",https://www.therobotreport.com/meet-2023-rbr50-robotics-innovation-awards/
Axcess Robotics,Company develops autonomous cleaning robots specifically for window washing in commercial buildings,USA,Autonomous window cleaning,Medium,$12M,Completed pilot deployments in multiple commercial high-rise buildings in late 2022,Collaborates with building maintenance contractors,5,"No; robots are specialized machines for window cleaning, no humanoid element",Yes; dedicated to exterior window cleaning automation,Window washing and maintenance,TBD,3,"A. Some overlap with ABM’s building maintenance services such as window cleaning. B. Less focus on IoT or AI dashboards, mainly autonomous robotics. C. Moderate innovation with robotic window cleaners unique to market. D. Commercial pilot stage but full commercial rollout TBD.",Meet the RBR50 Robotics Innovation Awards Winners,The article highlights the winners of the RBR50 awards showcasing innovative robotics companies worldwide.,"April 19, 2023",https://www.therobotreport.com/meet-2023-rbr50-robotics-innovation-awards/
SensAT,Provider of AI software platforms for real-time monitoring and optimization of smart building systems,UK,AI-enabled building digital twins,Small,Not Disclosed,Launched enhanced AI dashboard for energy efficiency in Q1 2023,Strategic partnerships with building management firms,4,"No; focuses on software and AI for buildings, not robotics hardware",No; software platform integrates multiple building systems,Smart building energy management and system optimization,TBD,5,A. Directly overlaps with ABM’s smart building systems and energy optimization services. B. Highly aligned with ABM’s focus on AI dashboards and IoT sensors for smart facilities. C. Innovative application of AI in building digital twins unique in market. D. Commercially ready and deployed in multiple live sites.,Meet the RBR50 Robotics Innovation Awards Winners,The article highlights the winners of the RBR50 awards showcasing innovative robotics companies worldwide.,"April 19, 2023",https://www.therobotreport.com/meet-2023-rbr50-robotics-innovation-awards/
ANSCER Robotics,"Develops low-cost mobile robots for scalable, flexible fleets focused on facility operations and logistics automation, primarily targeting the U.S. market.",United States,Mobile robotics for fleets,Medium,Not Disclosed,Expanding into the U.S. market with an emphasis on scalable and flexible robotic fleets.,None,5,No; focuses on mobile robots for fleet operations rather than humanoid applications.,No; designs scalable fleets for multiple facility operations rather than single-use tasks.,Facility operations and logistics automation,TBD,4,"A. Yes, overlaps with facility operations relevant to ABM's building maintenance and janitorial services. B. Yes, aligns with smart facilities strategy emphasizing mobile robotics fleets that can be integrated with building automation. C. Yes, offers unique innovation by focusing on low-cost, scalable mobile robot fleets. D. Yes, the technology is advancing towards commercial readiness for facility services. ",Navigating the U.S. robotics market: Strategies for success,"ANSCER Robotics is expanding into the U.S. market, offering low-cost mobile robots designed for scalable and flexible fleets to optimize facility operations.","March 10, 2025",https://www.therobotreport.com/anscer-robotics-navigating-u_s-robotics-market-strategies-success/
Parvalux by maxon,Manufacturer of modular motors and gearboxes serving robotics and automation industries,United Kingdom/Global,Modular motors and gearboxes,Medium,Not Disclosed,Introduced modular motor and gearbox systems to simplify and speed product development,None,5,"No. Focuses on core motor and gearbox components, not humanoid robots",Yes. Modular motor and gearbox units can be used across diverse robotic platforms as building blocks,Supports various robotic tasks through modular components but not dedicated task robots,TBD,3,"A. Partially relevant as motors and gearboxes are essential in facility robotics but no direct mention of building systems or janitorial applications. B. Aligns partially by enabling robotic hardware development but lacks direct smart sensors or AI dashboard focus. C. Provides modular innovation allowing easier robotic product development, useful to ABM’s commercial robotics interests. D. Commercially ready components, not research-stage, fit for integration into facility robots.",Modular motors and gearboxes make product development simple - The Robot Report,Parvalux by maxon offers modular motor and gearbox solutions aimed at shortening robotic product development times and optimizing performance.,2024-12-23,https://www.therobotreport.com/modular-motors-and-gearboxes-make-product-development-simple/
KUKA,"KUKA is a global leader in industrial robotics and automation solutions, serving manufacturing, automotive, and logistics industries.",Germany,"Industrial robotic arms, automation software",Large,"Publicly traded, Not Disclosed",Introduction of KUKA System Software (KSS) combining new technology stacks and web technologies for enhanced automation capabilities.,None,10,No. Focused on industrial robotic arms and systems rather than humanoid robots.,Yes. Mainly focused on specific applications like manufacturing automation and assembly line tasks.,"Assembly line automation, industrial material handling",TBD,3,A. Partially overlaps with facility maintenance for automation aspects but not directly with janitorial or HVAC. B. Aligns to some extent with smart facilities via integration software. C. Offers unique industrial robotics innovation but not specifically for commercial buildings. D. Technology is commercially ready though mostly targeted at manufacturing rather than commercial facilities.,Technologies Archives - The Robot Report,Overview of recent advancements in robotic technologies highlighting companies like KUKA and their latest software integrations.,April 2025,https://www.therobotreport.com/category/technologies/
Yarbo,Yarbo develops an all-in-one outdoor power equipment robotic vehicle with multiple attachments for lawn care and snow removal; serves residential and commercial outdoor maintenance industries.,United States,Outdoor robotic maintenance,Small,Not Disclosed,"Launched core robotic vehicle with attachments including mower deck, snow blower, and leaf blower within last 12 months.",None,3,"No; focuses on outdoor tool-carrying robotic vehicles, no humanoid form.","No; offers multiple functional use cases via attachments (mowing, snow blowing, leaf blowing).","Lawn mowing, snow removal, leaf blowing",TBD,3,A. Partially relevant with landscaping and facility grounds maintenance overlaps. B. Limited info on smart facility integration like sensors or AI dashboards. C. Provides unique multi-tool robotic platform for outdoor maintenance. D. Commercial readiness is unclear but core vehicle and attachments appear market-ready.,Service and Consumer Robotics News from the Robot Report,Overview of consumer robotics platforms featuring Yarbo's modular robotic lawn care and snow removal vehicle among other service robots.,April 2025,https://www.therobotreport.com/category/robots-platforms/consumer-robotics/
Brain Corp,Provides AI-powered autonomous mobile robots primarily for facility cleaning and material handling in commercial environments.,United States,Autonomous cleaning robots,Medium,Over $100M,"Expanded deployments of autonomous floor cleaning robots across retail, airports, and hospitals in 2021.","Tennant Company, Walmart",15,No; robots are wheeled autonomous floor cleaners.,No; focused on multiple facility cleaning and material transport tasks.,"Floor cleaning, facility sanitation, inventory transport",TBD,5,A. Overlaps with ABM's janitorial and sanitation services through floor cleaning robots. B. Aligns with ABM’s smart facilities strategy by integrating AI and autonomous navigation. C. Offers unique commercial-grade robotics innovation in cleaning automation. D. Solutions are commercially available and deployed at scale.,2021 RBR50 Robotics Innovation Awards Digital Edition - The Robot Report,Annual awards recognizing leading companies advancing impactful and commercial robotics innovations in various industries.,"June 16, 2021",https://www.therobotreport.com/2021-rbr50-robotics-innovation-awards-digital-edition/
Avidbots,Developer of autonomous floor scrubbing robots serving commercial cleaning and sanitation sectors globally.,Canada,Autonomous floor scrubbers,Medium,Approximately $75M,Launched Neo cleaning robot with enhanced autonomous navigation and cloud-based monitoring capabilities in 2021.,None disclosed,12,"No; robotic platform is non-humanoid, wheeled scrubber.",No; robots can be deployed in varied commercial facilities for floor cleaning.,"Floor cleaning, facility sanitation",TBD,5,A. Directly overlaps with ABM’s janitorial and sanitation focus. B. Integrates with smart facility monitoring tools aligning with ABM’s strategic priorities. C. Represents mature commercial robotics innovation. D. Product is commercially ready and widely deployed.,2021 RBR50 Robotics Innovation Awards Digital Edition - The Robot Report,Showcases robotics companies pushing forward practical automation solutions with commercial readiness.,"June 16, 2021",https://www.therobotreport.com/2021-rbr50-robotics-innovation-awards-digital-edition/
Savioke,"Specializes in autonomous delivery robots operating within commercial buildings, hotels, and healthcare facilities.",United States,Autonomous delivery robots,Small to Medium,Over $50M,Expanded deployment of Relay delivery robots in healthcare and hospitality sectors to improve contactless delivery in 2021.,"Hilton Hotels, Hyatt",10,No; robots are wheeled autonomous delivery platforms.,Yes; focused on delivery within indoor facility environments.,In-building delivery of items and materials,TBD,4,A. Supports facility operations but less related to ABM’s janitorial or HVAC services. B. Aligns moderately with smart automation for buildings. C. Provides unique autonomous delivery innovation for indoor environments. D. Commercially deployed and operational in multiple locations.,2021 RBR50 Robotics Innovation Awards Digital Edition - The Robot Report,Highlights robotics firms delivering practical automation solutions with commercial application focus.,"June 16, 2021",https://www.therobotreport.com/2021-rbr50-robotics-innovation-awards-digital-edition/
OTSAW Digital,"Develops service robots with AI capabilities, including autonomous security and cleaning robots for urban and commercial facilities.",Singapore / United States,Autonomous security and cleaning,Medium,Not Disclosed,Rolled out OTSAW’s autonomous security robots with AI analytics in urban commercial buildings in 2021.,None disclosed,8,No; robots are wheeled mobile platforms with AI sensors.,No; robotic platforms handle multiple tasks including security and cleaning.,"Security patrol, facility cleaning",TBD,4,A. Addresses janitorial and security services overlapping with ABM’s building maintenance. B. Incorporates AI and sensor tech consistent with ABM’s smart facilities strategy. C. Offers robotics innovation integrating multi-task capabilities. D. Commercially available though less widespread than leaders.,2021 RBR50 Robotics Innovation Awards Digital Edition - The Robot Report,"Examines companies advancing impactful, deployable robotic technologies in facilities and urban environments.","June 16, 2021",https://www.therobotreport.com/2021-rbr50-robotics-innovation-awards-digital-edition/
BOW Robotics,University of Sheffield spinout developing a robotics platform to simplify robotic application development; serves robotics developers and researchers,UK,Robotics platform/software,Small,Not Disclosed,Co-founders discussed company’s robotics SDK and business model on The Robot Report Podcast (April 2025),None,1,No; software platform for robotics applications generally,No; platform-based approach supports multiple applications,Simplify robotic development,TBD,3,A. No direct overlap with ABM services. B. Aligns moderately with ABM’s smart facilities approach via enabling robotic applications. C. Provides innovative development platform but early stage. D. Not yet confirmed as commercially ready.,The Robot Report Podcast Episode on BOW Robotics,Interview with BOW Robotics founders about challenges in robotics and their software development kit platform.,"April 15, 2025",https://www.linkedin.com/posts/the-robot-report_bow-is-a-university-of-sheffield-spinout-activity-7317947329456558080-FqV2
ABB,"ABB develops industrial automation and robotics including AMRs, industrial arms, and collaborative robots serving manufacturing and industrial sectors.",Switzerland/Global,Collaborative industrial robots,Large,Public company - Not Disclosed,Expansion of AMR product line and integration of software solutions in the past 12 months,None explicitly stated,Approximately 5,"No; focus is on industrial arms and AMRs, not humanoid robots",Yes; applications focus on specific tasks like automated material handling and assembly,"Floor cleaning, material transport, manufacturing assembly",TBD,4,A. ABB’s industrial robots overlap partially with ABM’s facility operations like floor cleaning and maintenance. B. ABB’s focus on software and AMRs aligns with ABM’s smart building and IoT strategies. C. ABB offers unique robotics innovations including advanced AMRs and industrial cobots. D. ABB’s products are commercially available and widely deployed.,Collaborative robotics news and archive,"This article aggregates news and updates about collaborative robotics platforms, covering key industry players like ABB and their robotic technologies.",April 2025,https://www.therobotreport.com/category/robots-platforms/collaborative-robot/
